feature	SF1	SF2	SF3	SF4	SF5	SF6	SF7	SF8	SF9	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF34	SF35	SF36	SF37	
PWY.6281._L.selenocysteine_biosynthesis_II_.archaea_and_eukaryotes.	2.5935E-07	0	0	3.81452E-07	0	3.36779E-07	0	1.32329E-07	0	0	2.08891E-07	0	1.52775E-07	0	5.35114E-08	0	0	0	2.84931E-07	0	0	5.35814E-07	0	6.676E-08	0	0	0	2.25652E-07	0	0	0	
PWY.5855._ubiquinol.7_biosynthesis_.early_decarboxylation.	0	7.61164E-05	7.98747E-05	1.34217E-06	6.68266E-05	0	5.98909E-07	7.33248E-07	0.000103452	0.000114206	0	9.26179E-05	4.10494E-07	3.22092E-06	2.49976E-05	5.48037E-06	2.35387E-06	2.05483E-07	2.17047E-05	3.67506E-05	1.50179E-05	0	0.000246087	5.4907E-06	0.000023279	0.000010062	7.02073E-05	0	0.000147419	7.28781E-07	4.82641E-07	
PWY.6803._phosphatidylcholine_acyl_editing	1.02043E-06	0.000293667	0.000304079	8.54412E-06	0.000239159	1.08376E-06	5.56888E-06	1.30727E-06	0.000260009	0.000306502	7.93226E-07	0.000376389	6.71997E-07	4.63374E-05	3.93016E-05	9.71418E-06	1.35789E-05	3.31504E-06	3.25036E-05	0.000106766	6.40878E-05	2.1462E-06	0.000447663	1.44094E-05	0.000135524	5.31216E-05	0.000331774	9.29946E-07	0.000190307	1.03482E-06	6.31162E-06	
PWY66.201._nicotine_degradation_IV	4.79785E-06	0	0	6.65374E-06	0	3.10349E-06	0	2.95165E-06	0	0	3.88261E-06	0	2.92723E-06	0	1.82709E-06	0	2.39919E-06	3.92639E-06	2.57742E-06	8.18688E-07	0	3.42094E-05	1.14074E-07	2.45343E-06	0	9.80403E-07	0	4.3906E-06	0	0	1.38765E-05	
PWY.7185._UTP_and_CTP_dephosphorylation_I	1.32093E-06	0	0	2.30063E-06	0	3.39055E-07	0	4.10368E-07	9.51395E-08	0	7.33414E-07	0	2.85148E-07	0	8.26843E-07	0	3.50435E-07	0	4.7665E-07	3.65914E-07	0	2.16677E-06	4.90273E-07	8.19724E-07	0	4.04178E-07	0	1.79169E-06	0	0	0	
PWY.5067._glycogen_biosynthesis_II_.from_UDP.D.Glucose.	3.69045E-07	0	0	2.14689E-07	0	1.49923E-07	0	1.60262E-07	0	0	2.42447E-07	0	2.66478E-07	0	7.46894E-08	0	1.23743E-07	1.91577E-07	9.81635E-08	7.67483E-08	0	9.38241E-07	0	1.12076E-07	0	5.5891E-08	0	2.23159E-07	0	0	7.2578E-07	
PWY.7433._mucin_core_1_and_core_2_O.glycosylation	1.01198E-06	0	0	8.71647E-07	0	7.67839E-07	0	6.53699E-07	0	0	1.01201E-06	0	6.35616E-07	0	3.82467E-07	0	4.44469E-07	1.02812E-06	4.37591E-07	1.84775E-07	0	7.04529E-06	0	4.84796E-07	0	3.78083E-07	0	7.59909E-07	0	0	2.79054E-06	
PWY0.1477._ethanolamine_utilization	1.84991E-06	0.000968744	0.00102164	1.89048E-05	0.000670286	2.34189E-05	0.000129683	2.37408E-06	0.000844954	0.000867179	4.55836E-07	0.000786494	1.86119E-06	0.000188678	6.05452E-05	4.59985E-05	3.95069E-05	2.27016E-06	3.12793E-05	0.000266123	0.000136888	0	0.000653876	3.48397E-05	0.000356016	0.00010255	0.000915796	2.97085E-06	0.000370591	0.000164423	2.65364E-06	
PWY.7833._biosynthesis_of_Lewis_epitopes_.H._pylori.	1.36017E-06	0	0	2.9426E-06	0	1.27328E-06	0	8.10166E-07	7.58393E-08	0	1.40474E-06	0	1.38388E-06	0	7.12206E-07	0	9.71592E-07	2.02479E-06	7.85976E-07	5.15553E-07	0	1.17177E-05	1.26521E-07	9.06899E-07	0	4.96602E-07	0	1.44877E-06	0	0	3.84416E-06	
PWY.7832._ABH_and_Lewis_epitopes_biosynthesis_from_type_1_precursor_disaccharide	2.27825E-06	0	0	3.32403E-06	0	1.66095E-06	0	1.29141E-06	6.82114E-08	0	1.64994E-06	0	1.74908E-06	0	1.10241E-06	0	1.28728E-06	2.78628E-06	1.29689E-06	6.22131E-07	0	1.93602E-05	1.7362E-07	1.26335E-06	0	6.89175E-07	0	1.9391E-06	0	0	6.40327E-06	
PWY.6558._heparan_sulfate_biosynthesis_.late_stages.	2.49465E-07	0	0	5.08502E-07	0	4.21962E-07	0	4.0886E-07	0	0	3.50865E-07	0	0	0	2.46744E-07	0	1.74838E-07	3.78577E-07	2.06063E-07	9.0622E-08	0	4.23821E-06	0	1.18235E-07	0	0	0	4.27207E-07	0	0	9.71623E-07	
GLUCOSE1PMETAB.PWY._glucose_and_glucose.1.phosphate_degradation	9.28291E-07	0.000503028	0.000532304	5.06277E-05	0.000400795	0	0.000291756	3.26211E-06	0.000436594	0.000466367	9.72897E-07	0.000453683	2.24388E-06	0.000111021	0.000055816	0.000325443	3.42063E-05	9.7866E-07	5.02499E-05	0.000252424	0.000263648	1.34357E-06	0.000325055	3.69837E-05	0.00034635	0.000135214	0.000593524	1.77983E-05	0.000252918	0.000566591	2.21412E-06	
PWY.5138._fatty_acid_.beta..oxidation_IV_.unsaturated._even_number.	0	0.000192818	0.000201015	3.09699E-06	0.000191588	0	0	1.62058E-06	0.000221121	0.000247017	0	0.000239802	4.74109E-07	3.19531E-05	6.49975E-05	3.43837E-05	8.70244E-06	1.13288E-06	4.48693E-05	9.66932E-05	4.15459E-05	0	0.000515719	1.15719E-05	0.000164609	4.77797E-05	0.000247422	0	0.000319878	0	3.09792E-06	
PWY.5136._fatty_acid_.beta..oxidation_II_.plant_peroxisome.	7.76456E-07	0.000589987	0.000617176	8.67979E-06	0.000504834	2.23022E-06	0.000008291	2.62135E-06	0.000491471	0.000531931	9.13577E-07	0.000635651	1.72707E-06	0.000118703	8.03128E-05	5.89167E-05	3.04414E-05	1.72506E-06	6.15762E-05	0.000248025	0.000107154	3.15321E-06	0.000830901	4.43855E-05	0.000324183	0.000113986	0.000489829	1.54789E-06	0.000461548	0.000052179	2.66453E-06	
HEME.BIOSYNTHESIS.II._heme_b_biosynthesis_I_.aerobic.	3.50896E-07	0.000257698	0.000281945	5.19009E-05	0.000222466	1.86699E-05	0.000088787	2.45897E-06	0.000240995	0.000252769	2.23949E-07	0.000419595	1.78684E-06	0.000143721	3.44144E-05	0.000236443	1.45304E-05	6.60218E-07	3.40472E-05	0.000117297	5.61986E-05	0	0.000292609	1.17692E-05	0.000242051	7.00216E-05	0.000264812	4.34997E-06	0.000204046	0.000276469	8.18641E-07	
PWY0.1298._superpathway_of_pyrimidine_deoxyribonucleosides_degradation	4.60295E-07	0.00031991	0.000342428	2.99846E-05	0.000260184	9.19957E-06	4.65394E-05	0.000001471	0.000306792	0.000326776	2.80753E-07	0.00031296	2.53017E-06	0.000132032	5.69159E-05	0.000240912	3.05059E-05	1.32761E-06	3.22128E-05	0.000197568	0.000107846	0	0.000311748	5.55211E-05	0.000209817	7.22225E-05	0.000341112	7.23424E-06	0.00020819	0.000312502	1.51883E-06	
PWY.8052._2.arachidonoylglycerol_biosynthesis	4.15951E-07	0	0	2.8136E-07	0	3.90955E-07	0	0	0	0	2.29946E-07	0	2.19882E-07	0	5.96103E-08	0	0	0	0	0	0	1.62829E-06	0	3.92834E-07	0	6.74106E-08	0	0	0	0	0	
REDCITCYC._TCA_cycle_VI_.Helicobacter.	6.28067E-07	0.000135974	0.000140745	3.9717E-06	0.000125885	3.11021E-06	1.17924E-05	1.26788E-06	0.000183877	0.000183434	0	0.000134407	6.54363E-07	2.93508E-05	1.80027E-06	8.68754E-06	4.49528E-06	3.00092E-07	1.74805E-06	5.65279E-05	2.16588E-05	0	7.84946E-05	3.75907E-06	3.72831E-05	2.89153E-05	0.00020187	0	1.79489E-05	3.76115E-05	0	
PWY.5918._superpathway_of_heme_b_biosynthesis_from_glutamate	3.92287E-07	0.000238317	0.000249031	0.000026776	0.000246951	2.54986E-05	0.000127549	2.32543E-06	0.00026239	0.000280582	0	0.00039642	1.81311E-06	0.000123356	3.57089E-05	0.000222909	1.67601E-05	4.83742E-07	0.000028074	0.000129192	5.88224E-05	0	0.000309663	0.000021525	0.000322093	9.50685E-05	0.000250338	1.10208E-06	0.00017225	5.73411E-05	0	
GLUCARDEG.PWY._D.glucarate_degradation_I	0	0.000305535	0.000330208	2.85427E-06	0.000262128	0	7.7808E-07	2.37076E-07	0.000331759	0.0003108	1.66329E-07	0.000439648	7.03771E-07	2.82819E-05	3.65437E-05	1.55581E-06	1.34621E-05	9.09137E-07	2.78467E-05	0.000141555	0.000046639	0	0.000105535	1.50321E-05	0.000150765	4.37799E-05	0.000315245	0	9.33486E-07	0	1.16804E-06	
PWY.8004._Entner.Doudoroff_pathway_I	6.04477E-06	0.000209049	0.000229996	1.86497E-05	0.000224763	1.17667E-05	4.23603E-05	2.13063E-06	0.000182054	0.00021521	0	0.000362742	2.76854E-06	0.000122943	3.12834E-05	0.000036664	4.01332E-05	1.47795E-06	2.46956E-05	0.000112535	0.000216639	0	0.00026166	2.21391E-05	0.000156523	7.83553E-05	0.000212601	1.14688E-06	0.000209508	0.000107273	1.70906E-06	
PWY.6305._superpathway_of_putrescine_biosynthesis	7.06637E-06	0.000357753	0.000397038	1.34758E-05	0.000389961	1.79447E-06	1.33218E-05	1.66818E-06	0.00061535	0.000531075	2.57748E-07	0.000504836	1.63217E-06	0.000073944	3.34815E-05	1.29701E-05	3.09246E-05	1.14858E-06	2.46763E-05	0.00019929	8.53401E-05	1.07076E-06	0.00034008	0.000058819	0.00026925	0.000084607	0.0005393	1.10483E-06	0.000166073	2.13286E-05	1.83601E-06	
