X_features	Y_features	association	p-values	q-values
g_Bifidobacterium	1_Methyladenosine	-0.18715775	0.152169905	0.561087386
s_Bifidobacterium_pseudolongum	1_Methyladenosine	-0.147892862	0.259451104	0.671720996
g_Curtobacterium	1_Methyladenosine	0.008727313	0.947234007	0.984611125
s_Curtobacterium_flaccumfaciens	1_Methyladenosine	0.008727313	0.947234007	0.984611125
g_Adlercreutzia	1_Methyladenosine	-0.003557631	0.978477546	0.993381549
s_Adlercreutzia_equolifaciens	1_Methyladenosine	-0.046271709	0.72553768	0.914595986
s_Adlercreutzia_hattorii	1_Methyladenosine	0.225073685	0.083809145	0.444773381
s_Bacteroides_caccae	1_Methyladenosine	-0.341252003	0.007622771	0.171732574
s_Bacteroides_caecimuris	1_Methyladenosine	-0.404341375	0.001354628	0.075812135
s_Bacteroides_fragilis	1_Methyladenosine	-0.402151637	0.001446723	0.077162732
s_Bacteroides_intestinalis	1_Methyladenosine	0.075353218	0.567173158	0.841966875
s_Bacteroides_luhongzhouii	1_Methyladenosine	-0.230030971	0.077040034	0.433164584
s_Bacteroides_ovatus	1_Methyladenosine	-0.502263725	4.33E-05	0.010868151
s_Bacteroides_sp._CBA7301	1_Methyladenosine	-0.431878748	0.000569805	0.045659046
s_Bacteroides_thetaiotaomicron	1_Methyladenosine	-0.494107864	6.01E-05	0.01243029
s_Bacteroides_xylanisolvens	1_Methyladenosine	-0.29601102	0.021653873	0.261714224
s_Bacteroides_zhangwenhongii	1_Methyladenosine	-0.311715071	0.015330107	0.234511017
s_Phocaeicola_dorei	1_Methyladenosine	-0.377921133	0.002910423	0.108935261
g_Duncaniella	1_Methyladenosine	-0.142859133	0.276197639	0.686825497
s_Duncaniella_dubosii	1_Methyladenosine	-0.213788415	0.100966383	0.482668565
g_Muribaculum	1_Methyladenosine	-0.142301284	0.278096725	0.688056276
s_Muribaculum_gordoncarteri	1_Methyladenosine	-0.11801165	0.369170329	0.748715106
s_Muribaculum_intestinale	1_Methyladenosine	-0.214622223	0.099612181	0.481145629
g_Sodaliphilus	1_Methyladenosine	-0.031949949	0.808517487	0.943695242
s_Sodaliphilus_pleomorphus	1_Methyladenosine	-0.031949949	0.808517487	0.943695242
g_Odoribacter	1_Methyladenosine	-0.003736923	0.977393164	0.993381549
s_Odoribacter_splanchnicus	1_Methyladenosine	-0.003736923	0.977393164	0.993381549
g_Prevotella	1_Methyladenosine	-0.416725276	0.000925991	0.058962625
s_Alistipes_communis	1_Methyladenosine	0.107299633	0.414491431	0.769609261
s_Alistipes_dispar	1_Methyladenosine	-0.010647695	0.935645572	0.980103386
s_Alistipes_finegoldii	1_Methyladenosine	-0.198967089	0.127495039	0.530895056
s_Alistipes_onderdonkii	1_Methyladenosine	-0.008241758	0.95016588	0.985370762
s_Alistipes_senegalensis	1_Methyladenosine	-0.192355988	0.140905003	0.546878825
s_Alistipes_shahii	1_Methyladenosine	0.184947783	0.157156225	0.567278748
s_Parabacteroides_goldsteinii	1_Methyladenosine	-0.289004976	0.025119718	0.280839343
s_Parabacteroides_johnsonii	1_Methyladenosine	-0.205641209	0.114961186	0.510651669
s_Parabacteroides_merdae	1_Methyladenosine	-0.334492549	0.008996766	0.186076159
g_Mucispirillum	1_Methyladenosine	0.018983241	0.885529482	0.96670402
s_Mucispirillum_schaedleri	1_Methyladenosine	0.018983241	0.885529482	0.96670402
g_Staphylococcus	1_Methyladenosine	-0.060162181	0.647940484	0.880433217
g_Enterococcus	1_Methyladenosine	0.097110858	0.460428734	0.790004357
s_Enterococcus_faecalis	1_Methyladenosine	0.12218069	0.352376521	0.737224828
s_Enterococcus_faecium	1_Methyladenosine	0.14322244	0.274965476	0.685982487
g_Lactobacillus	1_Methyladenosine	0.27726901	0.031970189	0.314290012
s_Lactobacillus_intestinalis	1_Methyladenosine	0.184358395	0.158506199	0.568412886
s_Lactobacillus_johnsonii	1_Methyladenosine	0.020382627	0.877154078	0.965260371
s_Lactobacillus_taiwanensis	1_Methyladenosine	0.105312354	0.423237936	0.773699587
g_Ligilactobacillus	1_Methyladenosine	0.284304742	0.027697967	0.297214108
s_Ligilactobacillus_murinus	1_Methyladenosine	0.291642356	0.023763789	0.275227521
g_Limosilactobacillus	1_Methyladenosine	0.321789896	0.012168592	0.214989883
s_Limosilactobacillus_reuteri	1_Methyladenosine	0.332351319	0.009474731	0.191863919
g_Candidatus_Arthromitus	1_Methyladenosine	-0.132528974	0.312767756	0.710495966
g_Clostridium	1_Methyladenosine	0.014619437	0.911723088	0.973923365
s_Clostridium_sp._MD294	1_Methyladenosine	0.012507123	0.924437578	0.976435246
g_Hungatella	1_Methyladenosine	0.259540296	0.045224545	0.359731573
s_Hungatella_hathewayi	1_Methyladenosine	0.259540296	0.045224545	0.359731573
g_Eubacterium	1_Methyladenosine	0.10809308	0.411028571	0.768299953
g_Blautia	1_Methyladenosine	0.066816756	0.611986139	0.86378064
s_Blautia_producta	1_Methyladenosine	0.235814173	0.069699529	0.414955333
s_Blautia_pseudococcoides	1_Methyladenosine	-0.131686104	0.315882652	0.712813344
s_Blautia_wexlerae	1_Methyladenosine	0.301901805	0.019061902	0.251033222
