	SF1	SF2	SF3	SF4	SF6	SF7	SF8	SF11	SF12	SF13	SF14	SF17	SF18	SF19	SF20	SF22	SF23	SF24	SF25	SF34	SF35	SF36	SF37
PWY.6281._L.selenocysteine_biosynthesis_II_.archaea_and_eukaryotes.	2.59E-07	0	0	3.81E-07	3.37E-07	0	1.32E-07	2.09E-07	0	1.53E-07	0	0	0	2.85E-07	0	5.36E-07	0	6.68E-08	0	2.26E-07	0	0	0
PWY.5855._ubiquinol.7_biosynthesis_.early_decarboxylation.	0	7.61E-05	7.99E-05	1.34E-06	0	5.99E-07	7.33E-07	0	9.26E-05	4.10E-07	3.22E-06	2.35E-06	2.05E-07	2.17E-05	3.68E-05	0	0.000246087	5.49E-06	0.000023279	0	0.000147419	7.29E-07	4.83E-07
PWY.6803._phosphatidylcholine_acyl_editing	1.02E-06	0.000293667	0.000304079	8.54E-06	1.08E-06	5.57E-06	1.31E-06	7.93E-07	0.000376389	6.72E-07	4.63E-05	1.36E-05	3.32E-06	3.25E-05	0.000106766	2.15E-06	0.000447663	1.44E-05	0.000135524	9.30E-07	0.000190307	1.03E-06	6.31E-06
PWY66.201._nicotine_degradation_IV	4.80E-06	0	0	6.65E-06	3.10E-06	0	2.95E-06	3.88E-06	0	2.93E-06	0	2.40E-06	3.93E-06	2.58E-06	8.19E-07	3.42E-05	1.14E-07	2.45E-06	0	4.39E-06	0	0	1.39E-05
PWY.7185._UTP_and_CTP_dephosphorylation_I	1.32E-06	0	0	2.30E-06	3.39E-07	0	4.10E-07	7.33E-07	0	2.85E-07	0	3.50E-07	0	4.77E-07	3.66E-07	2.17E-06	4.90E-07	8.20E-07	0	1.79E-06	0	0	0
PWY.5067._glycogen_biosynthesis_II_.from_UDP.D.Glucose.	3.69E-07	0	0	2.15E-07	1.50E-07	0	1.60E-07	2.42E-07	0	2.66E-07	0	1.24E-07	1.92E-07	9.82E-08	7.67E-08	9.38E-07	0	1.12E-07	0	2.23E-07	0	0	7.26E-07
PWY.7433._mucin_core_1_and_core_2_O.glycosylation	1.01E-06	0	0	8.72E-07	7.68E-07	0	6.54E-07	1.01E-06	0	6.36E-07	0	4.44E-07	1.03E-06	4.38E-07	1.85E-07	7.05E-06	0	4.85E-07	0	7.60E-07	0	0	2.79E-06
PWY0.1477._ethanolamine_utilization	1.85E-06	0.000968744	0.00102164	1.89E-05	2.34E-05	0.000129683	2.37E-06	4.56E-07	0.000786494	1.86E-06	0.000188678	3.95E-05	2.27E-06	3.13E-05	0.000266123	0	0.000653876	3.48E-05	0.000356016	2.97E-06	0.000370591	0.000164423	2.65E-06
PWY.7833._biosynthesis_of_Lewis_epitopes_.H._pylori.	1.36E-06	0	0	2.94E-06	1.27E-06	0	8.10E-07	1.40E-06	0	1.38E-06	0	9.72E-07	2.02E-06	7.86E-07	5.16E-07	1.17E-05	1.27E-07	9.07E-07	0	1.45E-06	0	0	3.84E-06
PWY.7832._ABH_and_Lewis_epitopes_biosynthesis_from_type_1_precursor_disaccharide	2.28E-06	0	0	3.32E-06	1.66E-06	0	1.29E-06	1.65E-06	0	1.75E-06	0	1.29E-06	2.79E-06	1.30E-06	6.22E-07	1.94E-05	1.74E-07	1.26E-06	0	1.94E-06	0	0	6.40E-06
PWY.6558._heparan_sulfate_biosynthesis_.late_stages.	2.49E-07	0	0	5.09E-07	4.22E-07	0	4.09E-07	3.51E-07	0	0	0	1.75E-07	3.79E-07	2.06E-07	9.06E-08	4.24E-06	0	1.18E-07	0	4.27E-07	0	0	9.72E-07
GLUCOSE1PMETAB.PWY._glucose_and_glucose.1.phosphate_degradation	9.28E-07	0.000503028	0.000532304	5.06E-05	0	0.000291756	3.26E-06	9.73E-07	0.000453683	2.24E-06	0.000111021	3.42E-05	9.79E-07	5.02E-05	0.000252424	1.34E-06	0.000325055	3.70E-05	0.00034635	1.78E-05	0.000252918	0.000566591	2.21E-06
PWY.5138._fatty_acid_.beta..oxidation_IV_.unsaturated._even_number.	0	0.000192818	0.000201015	3.10E-06	0	0	1.62E-06	0	0.000239802	4.74E-07	3.20E-05	8.70E-06	1.13E-06	4.49E-05	9.67E-05	0	0.000515719	1.16E-05	0.000164609	0	0.000319878	0	3.10E-06
PWY.5136._fatty_acid_.beta..oxidation_II_.plant_peroxisome.	7.76E-07	0.000589987	0.000617176	8.68E-06	2.23E-06	0.000008291	2.62E-06	9.14E-07	0.000635651	1.73E-06	0.000118703	3.04E-05	1.73E-06	6.16E-05	0.000248025	3.15E-06	0.000830901	4.44E-05	0.000324183	1.55E-06	0.000461548	0.000052179	2.66E-06
