sample	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF1	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF2	SF34	SF35	SF36	SF37	SF3	SF4	SF5	SF6	SF7	SF8	SF9
12DICHLORETHDEG.PWY._1.2.dichloroethane_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2.PWY._folate_transformations_III_.E._coli.	0.00030721	8.20E-06	0.000313194	6.94E-06	0.000358447	4.07E-05	0.000430043	0.00011395	9.75E-07	3.02E-05	1.78E-05	0.000212761	0.000317778	0	0.000309464	5.66E-05	0.000352147	0.000165241	0.000339219	0.000299178	4.55E-06	0.000229996	0.0001841	7.06E-07	0.000311573	4.28E-05	0.000287272	9.88E-06	5.31E-05	4.04E-06	0.000329889
3.HYDROXYPHENYLACETATE.DEGRADATION.PWY._4.hydroxyphenylacetate_degradation	0.000114194	0	0	0	0	1.02E-06	0	1.44E-06	0	1.04E-06	0	5.15E-05	1.68E-05	0	0.000131651	2.19E-06	9.59E-06	2.09E-06	0.000128487	0.000135529	0	0	0	0	0.000145815	4.19E-07	7.00E-05	0	0	0	0.000113382
AEROBACTINSYN.PWY._aerobactin_biosynthesis	1.33E-07	0	0.000144412	0	1.55E-05	0	1.04E-06	3.66E-06	4.42E-07	1.48E-07	0	0	0	0	0	0	1.33E-05	5.15E-06	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0
ALL.CHORISMATE.PWY._superpathway_of_chorismate_metabolism	0	0	0	0	0	0	0	2.01E-06	0	0	0	1.16E-05	0	0	0	0	0	4.39E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG.PWY._superpathway_of_allantoin_degradation_in_yeast	6.64E-08	0	0	0	5.83E-07	4.04E-09	3.76E-06	2.95E-06	2.19E-07	3.45E-07	0	2.68E-07	2.18E-06	0	7.82E-06	0	3.20E-06	7.36E-07	6.50E-06	2.10E-07	0	0	0	0	2.64E-07	0	0	2.61E-07	1.64E-06	0	0
ANAEROFRUCAT.PWY._homolactic_fermentation	0.00036173	2.44E-06	0.000418745	6.75E-06	0.000232298	4.19E-05	0.000367417	6.34E-05	1.86E-06	3.02E-05	1.04E-05	0.000172286	0.00021837	0	0.000290245	6.25E-05	0.000286633	0.000138834	0.00035692	0.000348061	1.18E-05	0.000157479	0.000471356	3.24E-06	0.000358305	5.95E-05	0.000303572	4.97E-05	0.000211531	4.95E-06	0.000330318
ANAGLYCOLYSIS.PWY._glycolysis_III_.from_glucose.	0.000457131	1.00E-05	0.000466258	8.38E-06	0.000512036	6.02E-05	0.000517999	0.000115605	2.28E-06	3.48E-05	1.72E-05	0.000237716	0.000320993	0	0.000338065	0.000102733	0.000372486	0.000178398	0.000456611	0.000436189	2.02E-05	0.000282244	0.000589272	3.96E-06	0.000456443	7.27E-05	0.000356762	0.000105936	0.000575447	6.53E-06	0.000446794
ARG+POLYAMINE.SYN._superpathway_of_arginine_and_polyamine_biosynthesis	0.000373487	0	0.000438128	2.08E-06	6.88E-05	7.84E-06	5.20E-05	3.95E-05	5.61E-07	2.02E-05	1.04E-06	0.000160544	8.30E-05	0	0.000170456	5.76E-05	0.000293472	9.59E-05	0.000333917	0.000336398	2.22E-06	4.93E-06	8.77E-07	0	0.000359054	2.28E-05	0.000292462	4.70E-06	2.70E-05	1.01E-06	0.000389606
ARGDEG.PWY._superpathway_of_L.arginine._putrescine._and_4.aminobutanoate_degradation	0.000256568	0	0	0	0	7.48E-07	1.44E-07	7.08E-06	3.98E-07	0	0	7.67E-05	2.85E-05	0	0.000312671	7.53E-07	1.83E-05	4.80E-06	0.000243388	0.000222379	0	0	0	0	0.000238735	0	0.0001404	0	0	0	0.000309991
